"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
136,"6PK CEREAL",6pk-cereal,,,,,89
141,"4PK CEREAL",4pk-cereal,,,,,114
144,"6PK BOX",6pk-box,,,,,36
158,"12PK TETRA",12pk-tetra,,,,,47
177,"4PK TRAY ONLY",4pk-tray-only,,,,,20
239,"PALLET PK",pallet-pk,,,,,2
245,6PK,6pk,,,,,695
249,12PK,12pk,,,,,3365
325,24PK,24pk,,,,,39
343,"6PK PREM BOX",6pk-prem-box,,,,,224
347,"3PK PREM BOX",3pk-prem-box,,,,,49
406,4PK,4pk,,,,,15
511,1PK,1pk,,,,,93
566,"3PK OCTAVIN",3pk-octavin,,,,,23
601,2PK,2pk,,,,,37
606,"12PK CLUB",12pk-club,,,,,104
648,"24 (8 x 3PK)",24-8-x-3pk,,,,,4
780,"24 (6 x 4PK)",24-6-x-4pk,,,,,32
999,3PK,3pk,,,,,16
1132,"6 PACK CLUB",6-pack-club,,,,,16
1153,18PK,18pk,,,,,4
1233,"10PK TETRA",10pk-tetra,,,,,6
3097,"TWO 12PK",two-12pk,,,,,1
3177,"6PK BLACK BOX",6pk-black-box,,,,,
3625,"12 2PKS PER CASE",12-2pks-per-case,,,,,5
3699,MULTIPACK,multipack,,,,,7
3967,"SIX 2PK (6*2PK)",six-2pk-62pk,,,,,6
4240,15PK,15pk,,,,,113
5094,"3PK (2 * 3PK)",3pk-2-3pk,,,,,
5125,"2PK (3 * 2PK)",2pk-3-2pk,,,,,2
5368,"6PK PET",6pk-pet,,,,,21
